VAR1,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,metro_dist_group
827,387.13003539,Private room,False,True,2,True,0,0,10,100,1,1.0469273516,0.5703790055,476.4643391,25.229103343,848.48922143,59.123949689,4.88599,52.36489,Very Close
828,250.74403018,Private room,False,True,2,True,0,0,10,95,1,5.5296022447,0.6503678719,93.619633623,4.9572218062,116.34266947,8.1069245933,4.87842,52.32435,Very Close
829,274.1780517,Private room,False,True,2,False,1,0,9,86,1,6.4813496621,0.1581548155,72.857957851,3.8578772789,91.338729919,6.3646141118,4.9471,52.32527,Very Close
830,447.58981089,Private room,False,True,2,False,1,0,10,100,1,0.2746367615,0.4982883826,561.99771047,29.75815219,844.67643074,58.858268948,4.89419,52.37561,Very Close
831,366.50809645,Private room,False,True,2,True,1,0,10,99,1,0.9624136233,0.9561910376,465.91049706,24.670270395,561.93270546,39.156279381,4.87899,52.37274,Very Close
832,426.0305111,Entire home/apt,False,False,2,False,1,0,10,100,1,4.199872161,0.4475125908,132.71873965,7.02754545,164.68274381,11.475330521,4.85709,52.34259,Very Close
833,467.04004874,Private room,False,True,2,False,1,0,10,94,1,0.2224653424,0.4506704439,692.77103357,36.682686541,815.77941586,56.844683377,4.89463,52.375,Very Close
835,161.92908865,Private room,False,True,2,False,0,0,9,84,1,7.1457685679,2.7596558501,65.630257863,3.4751657621,81.219400868,5.6594847045,4.79422,52.35176,Kinda Far
836,550.46516533,Entire home/apt,False,False,2,True,0,0,10,98,1,0.5699956913,0.6323017441,813.32875663,43.066298082,654.87753388,45.632808747,4.88484,52.37406,Very Close
837,522.34433951,Entire home/apt,False,False,2,False,0,0,9,100,1,1.8382414152,1.7479738637,283.86834256,15.031017356,396.40979554,27.622404876,4.86782,52.36744,Close
838,764.41778174,Entire home/apt,False,False,4,True,1,0,10,100,2,3.8797037428,1.0128586947,140.01468191,7.4138704404,186.64113861,13.005423063,4.84942,52.35085,Close
839,602.02001265,Entire home/apt,False,False,2,False,0,0,7,80,1,3.673035031,0.6952591367,140.32926446,7.4305277956,177.50623852,12.368890082,4.91053,52.34199,Very Close
840,245.82288567,Private room,False,True,2,False,0,0,10,94,1,9.8246157692,0.4564919556,47.312844454,2.505246551,59.110877342,4.1189309773,4.96959,52.29838,Very Close
841,298.78377428,Private room,False,True,2,True,0,0,8,89,1,3.5574247478,0.9973532964,167.16971531,8.851747502,198.46115117,13.829058544,4.86326,52.34699,Very Close
842,221.21716308,Private room,False,True,2,False,0,0,7,80,1,2.8651010535,0.6948838331,208.34010068,11.031746763,277.14260687,19.311695578,4.89597,52.34754,Very Close
843,940.17294308,Private room,False,True,4,False,0,1,10,80,2,0.9145628896,0.4087410335,376.13030567,19.916349606,463.32340325,32.285041331,4.90653,52.37338,Very Close
844,417.82860357,Entire home/apt,False,False,4,False,1,0,8,100,2,4.0931981226,0.9111774049,131.03256791,6.9382615357,166.69497228,11.615545496,4.84729,52.34942,Very Close
845,649.12239589,Entire home/apt,False,False,4,False,0,0,10,100,3,4.0313952749,2.7137451204,96.414513397,5.1052125473,121.99892967,8.5010609419,4.89443,52.40946,Kinda Far
846,952.59297448,Entire home/apt,False,False,4,False,0,0,10,88,1,1.2559576256,0.3850952787,366.11677509,19.386126508,435.96592297,30.378732746,4.90369,52.36399,Very Close
847,215.12431748,Private room,False,True,2,False,1,0,9,89,1,6.2732542025,0.0752365554,75.238367585,3.983921556,94.186956201,6.5630826168,4.94565,52.32693,Very Close
848,274.1780517,Private room,False,True,2,False,1,0,10,100,1,4.687321607,1.9290886209,86.318853981,4.5706406731,106.91354736,7.4498897989,4.95516,52.39148,Close
849,325.49855881,Private room,False,True,4,False,1,0,9,87,2,0.4063591671,0.4619657127,478.51427834,25.337648988,805.93979693,56.159044573,4.89365,52.37687,Very Close
850,447.35547067,Private room,False,True,2,False,1,0,10,93,1,0.2613177344,0.4913206362,597.53329546,31.639785028,837.4765491,58.356570837,4.89462,52.37539,Very Close
852,636.70236449,Private room,False,True,4,False,0,0,9,90,2,0.4353879813,0.3042915567,574.80030623,30.436058142,826.22218734,57.572350717,4.89754,52.37605,Very Close
853,566.63464017,Entire home/apt,False,False,4,False,1,0,6,60,2,1.8712759682,1.9337091159,207.07263871,10.964633809,263.18842534,18.339348133,4.87089,52.38314,Close
854,256.83687578,Private room,False,True,2,False,0,0,10,92,1,3.32112837,1.5248607748,135.67595194,7.1841318055,176.59380068,12.305310101,4.93366,52.35666,Close
855,196.61144049,Private room,False,True,2,False,1,0,9,80,1,8.2476492525,0.499529264,57.275249196,3.0327625016,73.55603586,5.1254904053,4.95644,52.31006,Very Close
856,234.57455534,Private room,False,True,2,False,0,0,10,97,1,5.915422628,1.334219378,81.758650574,4.3291748727,101.244513,7.0548633283,4.81548,52.34938,Close
857,378.69378764,Private room,False,True,2,False,0,0,10,60,1,0.5566559866,0.4978480505,439.99521758,23.298039127,650.37256612,45.318896112,4.89269,52.37823,Very Close
858,264.33576266,Private room,False,True,2,True,0,0,10,80,1,4.1993499455,3.0332955724,92.99055005,4.923911413,117.52588809,8.1893729688,4.8903,52.41094,Far
859,128.88711832,Entire home/apt,False,False,2,False,1,0,10,100,1,3.9144099712,1.0657923951,139.26696714,7.3742784466,181.21787024,12.62752192,4.84994,52.35,Close
860,274.1780517,Private room,False,True,2,True,0,0,10,100,1,2.4168379908,0.2520647115,284.30967133,15.054386007,413.90899154,28.84177403,4.89198,52.35152,Very Close
861,485.55292574,Entire home/apt,False,False,2,False,0,0,10,90,1,2.0677647647,0.2257270156,423.77165229,22.438990565,471.80540879,32.876079681,4.88801,52.35491,Very Close
862,340.49633258,Private room,False,True,2,False,0,0,10,88,0,0.8367433735,0.66569842,475.93250382,25.200942312,680.58009455,47.423800154,4.88469,52.36775,Very Close
863,814.56658777,Private room,False,True,4,False,1,0,8,80,1,2.2806195413,1.5968811142,306.91883974,16.251556497,317.61461022,22.131842999,4.86772,52.35986,Close
